Title,Authors,Venue,Year,URL
Would Your Tweet Invoke Hate on the Fly? Forecasting Hate Intensity of Reply Threads on Twitter.,"Snehil Dahiya, Shalini Sharma, Dhruv Sahnan, Vasu Goel, Emilie Chouzenoux, Víctor Elvira, Angshul Majumdar, Anil Bandhakavi, Tanmoy Chakraborty 0002",KDD,2021,https://doi.org/10.1145/3447548.3467150
NRGNN: Learning a Label Noise Resistant Graph Neural Network on Sparsely and Noisily Labeled Graphs.,"Enyan Dai, Charu Aggarwal 0001, Suhang Wang",KDD,2021,https://doi.org/10.1145/3447548.3467364
Labeled Data Generation with Inexact Supervision.,"Enyan Dai, Kai Shu, Yiwei Sun, Suhang Wang",KDD,2021,https://doi.org/10.1145/3447548.3467306
Explainability for Natural Language Processing.,"Marina Danilevsky, Shipi Dhanorkar, Yunyao Li 0001, Lucian Popa 0001, Kun Qian 0002, Anbang Xu",KDD,2021,https://doi.org/10.1145/3447548.3470808
Machine Learning Explainability and Robustness: Connected at the Hip.,"Anupam Datta, Matt Fredrikson, Klas Leino, Kaiji Lu, Shayak Sen, Zifan Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3470806
Fairness and Explanation in Clustering and Outlier Detection.,Ian Davidson,KDD,2021,https://doi.org/10.1145/3447548.3470822
PID-GAN: A GAN Framework based on a Physics-informed Discriminator for Uncertainty Quantification with Physics.,"Arka Daw, M. Maruf, Anuj Karpatne",KDD,2021,https://doi.org/10.1145/3447548.3467449
MiniRocket: A Very Fast (Almost) Deterministic Transform for Time Series Classification.,"Angus Dempster, Daniel F. Schmidt, Geoffrey I. Webb",KDD,2021,https://doi.org/10.1145/3447548.3467231
ST-Norm: Spatial and Temporal Normalization for Multi-variate Time Series Forecasting.,"Jinliang Deng, Xiusi Chen, Renhe Jiang, Xuan Song 0001, Ivor W. Tsang",KDD,2021,https://doi.org/10.1145/3447548.3467330
On Post-selection Inference in A/B Testing.,"Alex Deng, Yicheng Li, Jiannan Lu, Vivek Ramamurthy",KDD,2021,https://doi.org/10.1145/3447548.3467129
Globally Optimized Matchmaking in Online Games.,"Qilin Deng, Hao Li, Kai Wang, Zhipeng Hu, Runze Wu, Linxia Gong, Jianrong Tao, Changjie Fan, Peng Cui 0001",KDD,2021,https://doi.org/10.1145/3447548.3467074
Mutual Information Preserving Back-propagation: Learn to Invert for Faithful Attribution.,"Huiqi Deng, Na Zou 0001, Weifu Chen, Guocan Feng, Mengnan Du, Xia Hu 0001",KDD,2021,https://doi.org/10.1145/3447548.3467310
Measures and Best Practices for Responsible AI.,"Sunipa Dev, Mehrnoosh Sameki, Jwala Dhamala, Cho-Jui Hsieh",KDD,2021,https://doi.org/10.1145/3447548.3469458
Causal and Interpretable Rules for Time Series Analysis.,"Amin Dhaou, Antoine Bertoncello, Sébastien Gourvénec, Josselin Garnier, Erwan Le Pennec",KDD,2021,https://doi.org/10.1145/3447548.3467161
International Workshop on Knowledge Graph: Heterogenous Graph Deep Learning and Applications.,"Ying Ding 0001, Bogdan G. Arsintescu, Ching-Hua Chen, Haoyun Feng, François Scharffe, Oshani Seneviratne, Juan Sequeda",KDD,2021,https://doi.org/10.1145/3447548.3469473
