Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
145,University of Southern California,0.0,34.900327858416084,0.0,32.96672714540362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
146,Washington University in St. Louis,0.0,6.983333333333334,0.0,3.3666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
147,Utrecht University,0.0,2.5,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
148,Xiamen University,0.0,3.819047619047619,0.0,31.952380952380945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
149,Brigham Young University,0.0,1.8166666666666664,0.0,2.944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
150,Hanyang University,0.0,0.25,0.0,1.4499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
151,Purdue University,0.0,30.615476190476183,0.0,8.290873015873014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
152,Yonsei University,0.0,4.95952380952381,0.0,37.123809523809534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
153,JKU Linz,0.0,15.016666666666667,0.0,24.01944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
154,National Tsing Hua University,0.0,1.1166666666666667,0.0,16.85238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
155,Texas A&M University,0.0,13.131385281385285,0.0,15.482142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
156,Beihang University,0.0,1.953571428571428,0.0,7.469480519480518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
157,Westlake University,0.0,4.5004329004329,0.0,5.833766233766234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
158,University of Massachusetts Amherst,0.0,48.12564006042267,0.0,51.68375603864734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
159,University of Utah,0.0,8.560714285714283,0.0,12.248015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
160,Radboud University,0.0,10.008802308802307,0.0,3.411684514316093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
161,Goldsmiths University of London,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
162,ISI Kolkata,0.0,0.5,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
163,University at Buffalo,0.0,11.863095238095235,0.0,10.599718381976444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
164,Graz University of Technology,0.0,4.90952380952381,0.0,34.7143646893647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
165,Université Jean Monnet,0.0,3.75,0.0,4.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
166,Ohio State University,0.0,18.647619047619045,0.0,12.126190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
167,OHSU,0.0,0.1428571428571428,0.0,2.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
168,Cardiff University,0.0,3.999999999999999,0.0,96.856684981685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
