Faculty Name,University,Conference,Category,Score,Matched
Carlo Tomasi,Duke University,CVPR,Computer Vision & Image Processing,0.04,Yes
Daniel Soudry,Technion,CVPR,Computer Vision & Image Processing,0.04,Yes
Ran El-Yaniv,Technion,CVPR,Computer Vision & Image Processing,0.04,Yes
Sung Ju Hwang,KAIST,CVPR,Computer Vision & Image Processing,0.015625,Yes
Yici Cai,Tsinghua University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Evangelos Kalogerakis,University of Massachusetts Amherst,CVPR,Computer Vision & Image Processing,0.0625,Yes
Erik G. Learned-Miller,University of Massachusetts Amherst,CVPR,Computer Vision & Image Processing,0.0625,Yes
Tolga Birdal,Imperial College London,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Kwang Moo Yi,University of British Columbia,CVPR,Computer Vision & Image Processing,0.0625,Yes
Vincent Lepetit,Graz University of Technology,CVPR,Computer Vision & Image Processing,0.0625,Yes
Pascal Fua,EPFL,CVPR,Computer Vision & Image Processing,0.0625,Yes
Thirimachos Bourlai,West Virginia University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Arun Ross,Michigan State University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Patrick J. Flynn,University of Notre Dame,CVPR,Computer Vision & Image Processing,0.0625,Yes
Kevin W. Bowyer,University of Notre Dame,CVPR,Computer Vision & Image Processing,0.0625,Yes
Anil K. Jain 0001,Michigan State University,CVPR,Computer Vision & Image Processing,0.25,Yes
Eshed Ohn-Bar,Boston University,CVPR,Computer Vision & Image Processing,0.25,Yes
Sepp Hochreiter,JKU Linz,CVPR,Computer Vision & Image Processing,0.04,Yes
Zongming Guo,Peking University,CVPR,Computer Vision & Image Processing,0.04,Yes
Grant Van Horn,University of Massachusetts Amherst,CVPR,Computer Vision & Image Processing,0.04,Yes
Aaron C. Courville,University of Montreal,CVPR,Computer Vision & Image Processing,0.04,Yes
Sagie Benaim,Hebrew University of Jerusalem,CVPR,Computer Vision & Image Processing,0.25,Yes
Lior Wolf,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.25,Yes
Benjamin Recht,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.25,Yes
Jia Deng 0001,Princeton University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Kai Li 0001,Princeton University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Li Fei-Fei 0001,Stanford University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Hyun Soo Park,University of Minnesota,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Angela Dai,TU Munich,CVPR,Computer Vision & Image Processing,0.0123456790123456,Yes
Shuran Song,Stanford University,CVPR,Computer Vision & Image Processing,0.0123456790123456,Yes
Qifeng Chen,HKUST,CVPR,Computer Vision & Image Processing,0.25,Yes
Jaegul Choo,KAIST,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Jack Valmadre,University of Adelaide,CVPR,Computer Vision & Image Processing,0.04,Yes
Fahad Shahbaz Khan,MBZUAI,CVPR,Computer Vision & Image Processing,0.04,Yes
Hany Farid,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.25,Yes
Amir R. Zamir,EPFL,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Xiaojuan Ma,HKUST,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Hengshuang Zhao,University of Hong Kong,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Simon Lucey,University of Adelaide,CVPR,Computer Vision & Image Processing,0.0082644628099173,Yes
Deva Ramanan,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.0082644628099173,Yes
James Hays,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.0082644628099173,Yes
Laurent Itti,University of Southern California,CVPR,Computer Vision & Image Processing,0.04,Yes
Anima Anandkumar,California Institute of Technology,CVPR,Computer Vision & Image Processing,0.04,Yes
Samira Ebrahimi Kahou,University of Calgary,CVPR,Computer Vision & Image Processing,0.0082644628099173,Yes
Rama Chellappa,Johns Hopkins University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Shiyu Chang,Univ. of California - Santa Barbara,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Zhitao Ying,Yale University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Bernard Ghanem,KAUST,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Daniel Rueckert,Imperial College London,CVPR,Computer Vision & Image Processing,0.04,Yes
Satrajit Ghosh,IIT Kharagpur,CVPR,Computer Vision & Image Processing,0.04,Yes
Alexander S. Ecker,University of Göttingen,CVPR,Computer Vision & Image Processing,0.0625,Yes
Yu-Kun Lai,Cardiff University,CVPR,Computer Vision & Image Processing,0.25,Yes
Meina Kan,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.04,Yes
