Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
122,University of New Mexico,0.0,0.5095238095238094,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
123,VinUniversity,0.0,2.8249999999999997,0.0,4.666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
124,Duke University,0.0,33.39329004329004,0.0,21.778510378510376,3.419047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
125,Sun Yat-sen University,0.0,7.199542124542125,0.0,53.111904761904796,10.030952380952382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
126,University of Adelaide,0.0,14.499639249639246,0.0,73.48874458874464,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
127,Univ. of California - Santa Cruz,0.0,23.846428571428564,0.0,12.438131313131308,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
128,University of Modena and Reggio Emilia,0.0,5.9,0.0,43.63015873015872,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
129,TU Berlin,0.0,17.77741702741703,0.0,27.280808080808075,0.6742424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
130,University of Copenhagen,0.0,17.730158730158728,0.0,26.566907799802543,27.676190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
131,University of Chicago,0.0,33.365343915343914,0.0,46.52698412698411,3.594444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
132,AUEB,0.0,1.8333333333333333,0.0,1.2,2.308333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
133,Hunan University,0.0,1.1523809523809523,0.0,7.078571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
134,University of Central Florida,0.0,9.603571428571428,0.0,32.86746031746033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
135,Jadavpur University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
136,University of Trento,0.0,4.059523809523809,0.0,13.122222222222218,5.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
137,Universidad de los Andes,0.0,3.757575757575758,0.0,16.14415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
138,TU Delft,0.0,11.688095238095238,0.0,17.83658008658009,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
139,University of Warsaw,0.0,1.3407467532467532,0.0,0.6909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
140,Univ. of California - Santa Barbara,0.0,10.085353535353535,0.0,16.077380952380945,9.436544011544012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
141,University of Würzburg,0.0,11.846825396825396,0.0,121.12523448773449,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
142,UFPE,0.0,2.283333333333333,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
143,Karlsruhe Institute of Technology,0.0,5.417857142857142,0.0,18.23809523809523,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
