Title,Authors,Venue,Year,URL
Refined bounds for algorithm configuration: The knife-edge of dual class approximability.,"Maria-Florina Balcan, Tuomas Sandholm, Ellen Vitercik",ICML,2020,http://proceedings.mlr.press/v119/balcan20a.html
Ready Policy One: World Building Through Active Learning.,"Philip J. Ball, Jack Parker-Holder, Aldo Pacchiano, Krzysztof Choromanski, Stephen J. Roberts",ICML,2020,http://proceedings.mlr.press/v119/ball20a.html
Stochastic Optimization for Regularized Wasserstein Estimators.,"Marin Ballu, Quentin Berthet, Francis R. Bach",ICML,2020,http://proceedings.mlr.press/v119/ballu20a.html
Dual Mirror Descent for Online Allocation Problems.,"Santiago R. Balseiro, Haihao Lu, Vahab S. Mirrokni",ICML,2020,http://proceedings.mlr.press/v119/balseiro20a.html
Inductive-bias-driven Reinforcement Learning For Efficient Schedules in Heterogeneous Clusters.,"Subho S. Banerjee, Saurabh Jha, Zbigniew Kalbarczyk, Ravishankar K. Iyer",ICML,2020,http://proceedings.mlr.press/v119/banerjee20a.html
UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training.,"Hangbo Bao, Li Dong 0004, Furu Wei, Wenhui Wang 0003, Nan Yang 0002, Xiaodong Liu 0003, Yu Wang 0009, Jianfeng Gao 0001, Songhao Piao, Ming Zhou 0001, Hsiao-Wuen Hon",ICML,2020,http://proceedings.mlr.press/v119/bao20a.html
Fast OSCAR and OWL Regression via Safe Screening Rules.,"Runxue Bao, Bin Gu 0001, Heng Huang",ICML,2020,http://proceedings.mlr.press/v119/bao20b.html
Option Discovery in the Absence of Rewards with Manifold Analysis.,"Amitay Bar, Ronen Talmon, Ron Meir",ICML,2020,http://proceedings.mlr.press/v119/bar20a.html
Beyond the Visual Analysis of Deep Model Saliency.,"Sarah Adel Bargal, Andrea Zunino, Vitali Petsiuk, Jianming Zhang 0001, Vittorio Murino, Stan Sclaroff, Kate Saenko",xxAI@ICML,2020,https://doi.org/10.1007/978-3-031-04083-2_13
Learning the piece-wise constant graph structure of a varying Ising model.,"Batiste Le Bars, Pierre Humbert, Argyris Kalogeratos, Nicolas Vayatis",ICML,2020,http://proceedings.mlr.press/v119/bars20a.html
Frequency Bias in Neural Networks for Input of Non-Uniform Density.,"Ronen Basri, Meirav Galun, Amnon Geifman, David W. Jacobs, Yoni Kasten, Shira Kritchman",ICML,2020,http://proceedings.mlr.press/v119/basri20a.html
Private Query Release Assisted by Public Data.,"Raef Bassily, Albert Cheu, Shay Moran, Aleksandar Nikolov, Jonathan R. Ullman, Zhiwei Steven Wu",ICML,2020,http://proceedings.mlr.press/v119/bassily20a.html
"Interpretable, Verifiable, and Robust Reinforcement Learning via Program Synthesis.","Osbert Bastani, Jeevana Priya Inala, Armando Solar-Lezama",xxAI@ICML,2020,https://doi.org/10.1007/978-3-031-04083-2_11
On Second-Order Group Influence Functions for Black-Box Predictions.,"Samyadeep Basu, Xuchen You, Soheil Feizi",ICML,2020,http://proceedings.mlr.press/v119/basu20b.html
ECQ x: Explainability-Driven Quantization for Low-Bit and Sparse DNNs.,"Daniel Becking, Maximilian Dreyer, Wojciech Samek, Karsten Müller 0001, Sebastian Lapuschkin",xxAI@ICML,2020,https://doi.org/10.1007/978-3-031-04083-2_14
Combining Differentiable PDE Solvers and Graph Neural Networks for Fluid Flow Prediction.,"Filipe de Avila Belbute-Peres, Thomas D. Economon, J. Zico Kolter",ICML,2020,http://proceedings.mlr.press/v119/de-avila-belbute-peres20a.html
Kernel interpolation with continuous volume sampling.,"Ayoub Belhadji, Rémi Bardenet, Pierre Chainais",ICML,2020,http://proceedings.mlr.press/v119/belhadji20a.html
Decoupled Greedy Learning of CNNs.,"Eugene Belilovsky, Michael Eickenberg, Edouard Oyallon",ICML,2020,http://proceedings.mlr.press/v119/belilovsky20a.html
The Cost-free Nature of Optimally Tuning Tikhonov Regularizers and Other Ordered Smoothers.,"Pierre Bellec, Dana Yang",ICML,2020,http://proceedings.mlr.press/v119/bellec20a.html
Defense Through Diverse Directions.,"Christopher M. Bender, Yang Li 0012, Yifeng Shi, Michael K. Reiter, Junier Oliva",ICML,2020,http://proceedings.mlr.press/v119/bender20a.html
Interference and Generalization in Temporal Difference Learning.,"Emmanuel Bengio, Joelle Pineau, Doina Precup",ICML,2020,http://proceedings.mlr.press/v119/bengio20a.html
Preselection Bandits.,"Viktor Bengs, Eyke Hüllermeier",ICML,2020,http://proceedings.mlr.press/v119/bengs20a.html
Efficient Policy Learning from Surrogate-Loss Classification Reductions.,"Andrew Bennett, Nathan Kallus",ICML,2020,http://proceedings.mlr.press/v119/bennett20a.html
Training Neural Networks for and by Interpolation.,"Leonard Berrada, Andrew Zisserman, M. Pawan Kumar",ICML,2020,http://proceedings.mlr.press/v119/berrada20a.html
Implicit differentiation of Lasso-type models for hyperparameter optimization.,"Quentin Bertrand, Quentin Klopfenstein, Mathieu Blondel, Samuel Vaiter, Alexandre Gramfort, Joseph Salmon",ICML,2020,http://proceedings.mlr.press/v119/bertrand20a.html
Online Learning with Imperfect Hints.,"Aditya Bhaskara, Ashok Cutkosky, Ravi Kumar 0001, Manish Purohit",ICML,2020,http://proceedings.mlr.press/v119/bhaskara20a.html
When are Non-Parametric Methods Robust?,"Robi Bhattacharjee, Kamalika Chaudhuri",ICML,2020,http://proceedings.mlr.press/v119/bhattacharjee20a.html
Near-optimal sample complexity bounds for learning Latent k-polytopes and applications to Ad-Mixtures.,"Chiranjib Bhattacharyya, Ravindran Kannan",ICML,2020,http://proceedings.mlr.press/v119/bhattacharyya20b.html
